mA observed		
221.10236220472441 1.422346683590943
242.51968503937005 2.0877194204794662
262.67716535433067 3.9411994662374963
281.5748031496063 1.8408878120564052
302.99212598425197 1.6029428283467388
321.88976377952747 0.7119656098863207
343.30708661417316 0.5605751990173298
360.9448818897638 0.38675122146145535
381.1023622047244 0.48201450707191423
402.5196850393701 0.5969751923602877
421.4173228346456 0.6727734625702834
441.5748031496063 0.8332302479287633
461.7322834645669 0.7030634735796895
481.88976377952747 0.5895108507400267
502.0472440944882 0.39164823605485527
552.4409448818898 0.21954828787123665
602.8346456692913 0.1119902793272475
651.9685039370079 0.07824248277607276
702.3622047244094 0.08332302479287633
752.755905511811 0.07164588585738979
801.8897637795275 0.04067144639794148
851.023622047244 0.036316943436755976
902.6771653543307 0.02702053782310786
953.0708661417322 0.027709133868033524
1002.2047244094487 0.0300705988103805
1102.992125984252 0.030451350448734118
1203.7795275590552 0.027884007524369703
1303.3070866141734 0.025856414783156995
1402.8346456692914 0.02505573250213973
1503.6220472440946 0.022943292278431664
1603.1496062992126 0.01750529358902653
1702.6771653543308 0.01458594011725036
1803.464566929134 0.013024291219623356
1902.9921259842522 0.012385004675206214
2003.7795275590552 0.011412401683967906
